Group,Treatment,Diffusion,Proportion,Cluster Radii,Cluster Area
GOB8,Low,26.30357473,0.407874546,44.4223003,6196.29
GOB8,Low,23.92621753,0.451184102,43.59607225,5967.939
GOB8,Low,23.09630547,0.463419498,43.04350488,5817.614
GOB8,Low,27.23620852,0.326867702,40.46189526,5140.698
GOB8,Low,22.9196244,0.590364806,55.95130674,9829.923
GOB8,Low,11.50842763,0.79100539,55.06566723,9521.195
GOB8,Low,9.20519118,0.5134414,18.91897743,1123.893
GOB8,Low,13.21076845,0.474044739,25.11766577,1981.017
GOB8,Low,14.92409198,0.448459511,27.05892367,2299.062
GOB8,Low,13.09972913,0.537830838,28.34401385,2522.623
GOB8,Low,15.05022965,0.530376787,32.04745685,3224.904
GOB8,Low,22.24223069,0.43489378,39.35938043,4864.365
GOB8,Low,10.9963581,0.621443889,29.048159,2649.518
GOB8,Low,23.87247582,0.445351086,43.04069693,5816.855
GOB8,Low,22.48782135,0.462647724,41.84930883,5499.285
GOB8,Low,14.97510429,0.564662942,34.3988733,3715.507
GOB8,Low,23.35809122,0.465544198,43.70443943,5997.645
GOB8,Low,16.601315,0.552713963,37.11565673,4325.576
GOB8,Low,9.475231003,0.690038537,30.56906142,2934.228
GOB8,Low,17.21068274,0.552224205,38.4359381,4638.789
GOB8,Low,12.55113768,0.633736665,34.26807022,3687.304
GOB8,Low,10.26805598,0.681864027,32.2756835,3271
GOB8,Low,14.64102377,0.601214531,36.71403522,4232.47
GOB8,Low,11.53047491,0.65743799,33.65952606,3557.506
GOB8,Low,20.44823367,0.521662688,42.74856499,5738.161
GOB8,Low,21.58343733,0.5102073,44.06647411,6097.422
GOB8,Low,15.70889762,0.588878507,38.20986717,4584.381
GOB8,Low,19.50763926,0.546882217,43.05202748,5819.918
GOB8,Low,13.03078548,0.655404165,37.81469232,4490.046
GOB8,Low,17.69915796,0.586993296,42.85440839,5766.611
GOB8,Low,13.51231067,0.652462507,38.88015229,4746.632
GOB8,Low,16.48498898,0.606944912,41.94065796,5523.319
GOB8,Low,19.73778255,0.56539256,45.4151971,6476.376
GOB8,Low,26.45605967,0.50421047,53.36147314,8940.983
GOB8,Low,31.92696866,0.458123551,58.91927707,10900.451
GOB8,Low,16.6566172,0.618403138,43.6497751,5982.651
GOB8,Low,12.91636475,0.68306152,40.75353918,5215.072
GOB8,Low,18.47107345,0.605238414,46.79045305,6874.548
GOB8,Low,14.66876305,0.664524396,43.72527509,6003.365
GOB8,Low,21.82272117,0.580734171,52.04984444,8506.845
GOB8,Low,24.66526952,0.553471982,55.23789893,9580.848
GOB8,Low,10.72530571,0.74357644,41.82652223,5493.298
GOB8,Low,9.953601171,0.758757231,41.25968715,5345.416
GOB8,Low,8.14080517,0.794322493,39.58043491,4919.158
GOB8,Low,8.93896276,0.787469083,42.0595877,5554.688
GOB8,Low,16.03950424,0.674839188,49.32791293,7640.383
GOB8,Low,24.71306172,0.576250808,58.32002093,10679.846
GOB8,Low,7.549961068,0.816822623,41.21666768,5334.275
GOB8,Low,12.56181772,0.730160765,46.55296962,6804.942
GOB8,Low,8.219716241,0.807882112,42.78475233,5747.88
GOB8,Low,12.52106994,0.737412046,47.6833371,7139.42
GOB8,Low,9.068888864,0.798231498,44.94699993,6343.531
GOB8,Low,11.66406203,0.755622332,47.72965602,7153.297
GOB8,Low,12.07612368,0.765066432,51.40229121,8296.494
GOB8,Low,18.98311698,0.680142982,59.3487587,11059.944
GOB8,Low,6.080220045,0.870576077,46.97910499,6930.094
GOB8,Low,7.224604379,0.860645524,51.84336097,8439.485
GOB8,Low,9.431541674,0.861241392,67.97085831,14506.918
GOB8,Low,17.45479016,0.675976109,53.86883693,9111.814
MyoH,Low,15.25956286,0.658296729,44.6573508,6262.036
MyoH,Low,22.94567809,0.295523875,32.57126435,3331.186
MyoH,Low,22.21785527,0.399497658,36.99878204,4298.377
MyoH,Low,16.1995625,0.702712377,54.49121065,9323.577
