Group,Treatment,Diffusion,Proportion,Cluster Radii,Cluster Area
GOB8,Supplemental,25.41451751,0.619026587,66.70942551,13973.463
GOB8,Supplemental,44.81287605,0.20224065,56.17342629,9908.125
GOB8,Supplemental,32.21686443,0.382776501,52.19643202,8554.828
GOB8,Supplemental,25.89115878,0.448474114,46.94459399,6919.916
GOB8,Supplemental,23.58229689,0.548302291,52.2081393,8558.666
GOB8,Supplemental,20.94545717,0.568713792,48.56509847,7405.906
GOB8,Supplemental,30.98046099,0.355051165,48.03553289,7245.275
GOB8,Supplemental,29.35515636,0.374807234,46.95376843,6922.621
GOB8,Supplemental,22.43014167,0.508363474,45.62342398,6535.9
GOB8,Supplemental,14.79557426,0.639600799,41.05329378,5292.071
GOB8,Supplemental,18.23714746,0.624269595,48.53785377,7397.599
GOB8,Supplemental,23.5923997,0.374646558,37.7265049,4469.128
GOB8,Supplemental,40.72292662,0.28338842,56.82705633,10140.047
GOB8,Supplemental,23.31286382,0.590994531,56.9989049,10201.468
GOB8,Supplemental,22.60495678,0.541606835,49.31346827,7635.909
GOB8,Supplemental,41.77890874,0.163915921,49.96974562,7840.503
GOB8,Supplemental,25.49136347,0.417280281,43.74549658,6008.919
GOB8,Supplemental,17.49209575,0.628646168,47.10358216,6966.867
GOB8,Supplemental,10.68700171,0.770083486,46.48209709,6784.238
GOB8,Supplemental,24.46042274,0.483882941,47.3931685,7052.793
MyoH,Supplemental,12.78327848,0.699103502,42.48397225,5667.348
MyoH,Supplemental,27.97852672,0.345154442,42.72538215,5731.939
MyoH,Supplemental,25.8559278,0.438241973,46.02680609,6651.986
MyoH,Supplemental,34.21111845,0.281010792,47.58224191,7109.179
MyoH,Supplemental,19.91681579,0.557460047,45.00568966,6360.108
MyoH,Supplemental,16.55790746,0.687860212,53.04644942,8835.727
MyoH,Supplemental,19.25524198,0.627212933,51.65211904,8377.336
MyoH,Supplemental,22.14090956,0.546713678,48.84530697,7491.613
MyoH,Supplemental,31.19944742,0.27600751,43.09360645,5831.165
MyoH,Supplemental,15.5761709,0.50261742,31.31627749,3079.427
MyoH,Supplemental,25.97690716,0.192525107,32.17054474,3249.724
MyoH,Supplemental,17.3184632,0.742020818,67.13124326,14150.736
MyoH,Supplemental,31.64836943,0.431388946,55.65908227,9727.511
MyoH,Supplemental,27.43314413,0.45042329,49.91686082,7823.916
MyoH,Supplemental,28.12776557,0.357219291,43.75950488,6012.768
MyoH,Supplemental,26.27943796,0.550684499,58.48771715,10741.353
MyoH,Supplemental,33.86250402,0.224556597,43.66856935,5987.804
MyoH,Supplemental,29.92523641,0.234667864,39.10097984,4800.704
MyoH,Supplemental,38.22826866,0.268426838,52.25488122,8573.998
MyoH,Supplemental,13.34572656,0.659574509,39.20307654,4825.807
MyoH,Supplemental,19.30815063,0.501331745,38.7194301,4707.47
MyoH,Supplemental,23.95157241,0.270895481,32.85067062,3388.583
MyoH,Supplemental,21.9465967,0.550405872,48.81424234,7482.087
MyoH,Supplemental,29.50894743,0.417682894,50.67504819,8063.396
MyoH,Supplemental,14.49887761,0.722758415,52.29690775,8587.795
MyoH,Supplemental,34.76680091,0.191782902,43.01666097,5810.36
MyoH,Supplemental,19.0053305,0.320223751,27.95821495,2454.418
MyoH,Supplemental,18.43093562,0.53615613,39.73521437,4957.706
MyoH,Supplemental,27.4284407,0.484291923,53.18598242,8882.271
MyoH,Supplemental,17.95030481,0.555689668,40.4003768,5125.078
MyoH,Supplemental,26.18580103,0.280305477,36.38460513,4156.856
MyoH,Supplemental,17.3896556,0.596287215,43.07432474,5825.948
MyoH,Supplemental,20.55462227,0.571275255,47.94363397,7217.579
MyoH,Supplemental,27.48734511,0.247632042,36.53444409,4191.164
MyoH,Supplemental,16.26064255,0.537405177,35.15093932,3879.748
MyoH,Supplemental,30.40589189,0.388665124,49.73688413,7767.599
MyoH,Supplemental,14.57391393,0.746200844,57.42301964,10353.846
MyoH,Supplemental,18.90455249,0.34737804,28.96707993,2634.748
MyoH,Supplemental,22.88544666,0.310679756,33.2000211,3461.038
MyoH,Supplemental,24.57465125,0.343949554,37.45847807,4405.852
MyoH,Supplemental,53.97621966,0.147493392,63.31472293,12587.488
MyoH,Supplemental,20.79963674,0.615459084,54.08952828,9186.626
MyoG,Supplemental,31.67063009,0.197480083,39.46398019,4890.254
MyoG,Supplemental,19.93293229,0.522411146,41.7365944,5469.702
MyoG,Supplemental,30.49313431,0.346089963,46.63200221,6828.067
MyoG,Supplemental,27.54465947,0.37684729,44.20210172,6135.013
MyoG,Supplemental,32.1645721,0.367993233,50.89276537,8132.831
MyoG,Supplemental,35.35442904,0.24866656,47.05557766,6952.674
MyoG,Supplemental,15.23076104,0.768535532,65.80172398,13595.782
MyoG,Supplemental,20.70695969,0.451347828,37.74150683,4472.683
MyoG,Supplemental,22.91693862,0.586365917,55.40389338,9638.517
MyoG,Supplemental,26.89860054,0.422518388,46.5791464,6812.597
MyoG,Supplemental,20.6207863,0.598099291,51.30816103,8266.136
MyoG,Supplemental,22.34025552,0.410832149,37.9183207,4514.689
MyoG,Supplemental,18.66730201,0.558566596,42.28792347,5615.163
MyoG,Supplemental,44.54420936,0.390303674,73.059665,16760.424
MyoG,Supplemental,37.47067536,0.425456774,65.21820064,13355.719
MyoG,Supplemental,26.20870005,0.484016403,50.79366905,8101.19
MyoG,Supplemental,28.5008765,0.358861536,44.45354334,6205.009
MyoG,Supplemental,32.97382494,0.242165126,43.51056684,5944.552
MyoG,Supplemental,22.51208779,0.594914565,55.57367864,9697.682
MyoG,Supplemental,30.545694,0.334059524,45.86850494,6606.308
MyoG,Supplemental,14.54700475,0.615557719,37.8392426,4495.878
MyoG,Supplemental,21.75024597,0.592944904,53.43317453,8965.027
MyoG,Supplemental,26.82476333,0.208570708,33.89407441,3607.258
MyoG,Supplemental,45.38962266,0.279816771,63.02510368,12472.594
MyoG,Supplemental,29.76209031,0.34738248,45.60418533,6530.389
MyoG,Supplemental,8.054905552,0.8044251,41.18578383,5326.284
