"Competing.Group","Bio.Replicate","Relative.Fitness","Variable","Treatment"
"GFP2 - myoH","a",0.0134136542334615,"O2-Carrier","Low O2"
"GFP2 - myoH","b",0.00889381402643141,"O2-Carrier","Low O2"
"GFP2 - myoH","c",0.00847550679212294,"O2-Carrier","Low O2"
"GFP2 - myoH","d",0.0171426353812827,"O2-Carrier","Low O2"
"GFP2 - myoH","e",0.00403428129713035,"O2-Carrier","Low O2"
"GFP2+HEM - myoG+HEM","a",0.00744113784331368,"O2-Carrier","Low O2"
"GFP2+HEM - myoG+HEM","b",0.0132126772513321,"O2-Carrier","Low O2"
"GFP2+HEM - myoG+HEM","c",0.0220582148217909,"O2-Carrier","Low O2"
"GFP2+HEM - myoG+HEM","d",0.0176275893264615,"O2-Carrier","Low O2"
"GFP2+HEM - myoG+HEM","e",0.00540637461486604,"O2-Carrier","Low O2"
