"Competing.Group","Bio.Replicate","Relative.Fitness","Variable","Treatment"
"GFP2 - myoH","a",-0.00257834109662414,"O2-Carrier","Low O2"
"GFP2 - myoH","b",0.00593783736445319,"O2-Carrier","Low O2"
"GFP2 - myoH","c",0.00682793048061447,"O2-Carrier","Low O2"
"GFP2 - myoH","d",0.0045646222883331,"O2-Carrier","Low O2"
"GFP2 - myoH","e",0.00711352632103623,"O2-Carrier","Low O2"
"GFP2+HEM - myoG+HEM","a",0.00660891872659986,"O2-Carrier","Low O2"
"GFP2+HEM - myoG+HEM","b",0.00339060551410486,"O2-Carrier","Low O2"
"GFP2+HEM - myoG+HEM","c",0.00720138628543876,"O2-Carrier","Low O2"
"GFP2+HEM - myoG+HEM","d",0.00924025527265226,"O2-Carrier","Low O2"
"GFP2+HEM - myoG+HEM","e",0.0191380402230128,"O2-Carrier","Low O2"
