"Competing.Group","Bio.Replicate","Relative.Fitness","Variable","Treatment"
"GFP2 - myoH","a",0.0330713136380409,"O2-Carrier","Supplemental O2"
"GFP2 - myoH","b",0.0246773962610434,"O2-Carrier","Supplemental O2"
"GFP2 - myoH","c",0.0316325092027236,"O2-Carrier","Supplemental O2"
"GFP2 - myoH","d",0.0315691583893833,"O2-Carrier","Supplemental O2"
"GFP2 - myoH","e",0.0128083943535535,"O2-Carrier","Supplemental O2"
"GFP2+HEM - myoG+HEM","a",0.0272621604285839,"O2-Carrier","Supplemental O2"
"GFP2+HEM - myoG+HEM","b",0.0294309563421387,"O2-Carrier","Supplemental O2"
"GFP2+HEM - myoG+HEM","c",0.0211678208202761,"O2-Carrier","Supplemental O2"
"GFP2+HEM - myoG+HEM","d",0.0255968044941655,"O2-Carrier","Supplemental O2"
"GFP2+HEM - myoG+HEM","e",0.0202599471864811,"O2-Carrier","Supplemental O2"
