"Competing.Group","Bio.Replicate","Relative.Fitness","Variable","Treatment"
"GFP2 - myoH","a",0.00405937337334183,"O2-Carrier","Supplemental O2"
"GFP2 - myoH","b",0.00195225541955435,"O2-Carrier","Supplemental O2"
"GFP2 - myoH","c",-0.00157388545165715,"O2-Carrier","Supplemental O2"
"GFP2 - myoH","d",-0.00197572223058617,"O2-Carrier","Supplemental O2"
"GFP2 - myoH","e",0.00343931327621028,"O2-Carrier","Supplemental O2"
"GFP2+HEM - myoG+HEM","a",0.0103050857078459,"O2-Carrier","Supplemental O2"
"GFP2+HEM - myoG+HEM","b",0.00397236362616127,"O2-Carrier","Supplemental O2"
"GFP2+HEM - myoG+HEM","c",-0.00252417207450617,"O2-Carrier","Supplemental O2"
"GFP2+HEM - myoG+HEM","d",0.00247731890292147,"O2-Carrier","Supplemental O2"
"GFP2+HEM - myoG+HEM","e",0.00571470791530748,"O2-Carrier","Supplemental O2"
