R,Low none,Low 0.1,High none,High 0.1
20,0.180571429,0.180571429,0.234074074,0.234074074
19.02439024,0.108262878,0.077603197,0.233205489,0.233136169
18.04878049,0.034144313,0.053690542,0.23186673,0.231609116
17.07317073,0.007154371,0.039014673,0.229650961,0.228829333
16.09756098,0.001340477,0.028351194,0.225621312,0.222939264
15.12195122,0.000246762,0.020614778,0.217319031,0.208657738
14.14634146,4.55E-05,0.01502148,0.197453058,0.179648458
13.17073171,8.46E-06,0.010984026,0.146758029,0.143592257
12.19512195,1.58E-06,0.008070152,0.064626969,0.111221543
11.2195122,3.00E-07,0.005965471,0.016428259,0.085211213
10.24390244,5.74E-08,0.004443059,0.003364377,0.065101356
9.268292683,1.11E-08,0.003339896,0.000662071,0.049849176
8.292682927,2.20E-09,0.002539212,0.000131095,0.038415309
7.317073171,4.44E-10,0.001957534,2.65E-05,0.029913288
6.341463415,9.19E-11,0.001535302,5.48E-06,0.02363665
5.365853659,1.97E-11,0.001230135,1.17E-06,0.019044173
4.390243902,4.43E-12,0.00101205,2.64E-07,0.015732881
3.414634146,1.07E-12,0.000860071,6.36E-08,0.013410667
2.43902439,2.87E-13,0.000759854,1.71E-08,0.011872719
1.463414634,9.56E-14,0.000701952,5.70E-09,0.010981743
0.487804878,5.18E-14,0.000680022,3.09E-09,0.010643844
-0.487804878,5.18E-14,0.000680022,3.09E-09,0.010643844
-1.463414634,9.56E-14,0.000701952,5.70E-09,0.010981743
-2.43902439,2.87E-13,0.000759854,1.71E-08,0.011872719
-3.414634146,1.07E-12,0.000860071,6.36E-08,0.013410667
-4.390243902,4.43E-12,0.00101205,2.64E-07,0.015732881
-5.365853659,1.97E-11,0.001230135,1.17E-06,0.019044173
-6.341463415,9.19E-11,0.001535302,5.48E-06,0.02363665
-7.317073171,4.44E-10,0.001957534,2.65E-05,0.029913288
-8.292682927,2.20E-09,0.002539212,0.000131095,0.038415309
-9.268292683,1.11E-08,0.003339896,0.000662071,0.049849176
-10.24390244,5.74E-08,0.004443059,0.003364377,0.065101356
-11.2195122,3.00E-07,0.005965471,0.016428259,0.085211213
-12.19512195,1.58E-06,0.008070152,0.064626969,0.111221543
-13.17073171,8.46E-06,0.010984026,0.146758029,0.143592257
-14.14634146,4.55E-05,0.01502148,0.197453058,0.179648458
-15.12195122,0.000246762,0.020614778,0.217319031,0.208657738
-16.09756098,0.001340477,0.028351194,0.225621312,0.222939264
-17.07317073,0.007154371,0.039014673,0.229650961,0.228829333
-18.04878049,0.034144313,0.053690542,0.23186673,0.231609116
-19.02439024,0.108262878,0.077603197,0.233205489,0.233136169
-20,0.180571429,0.180571429,0.234074074,0.234074074
