Oxygen,Radius,Myoglobin,Metabolism,Advantage
0.001,5,0,0.092527598,0
0.002,5,0,0.160875828,0
0.003,5,0,0.216221727,0
0.004,5,0,0.263456182,0
0.005,5,0,0.305066335,0
0.006,5,0,0.342464374,0
0.007,5,0,0.376526846,0
0.008,5,0,0.407840493,0
0.009,5,0,0.436823909,0
0.01,5,0,0.463791552,0
0.02,5,0,0.660090477,0
0.03,5,0,0.778182064,0
0.04,5,0,0.85145431,0
0.05,5,0,0.894551539,0
0.06,5,0,0.919373345,0
0.07,5,0,0.934640756,0
0.08,5,0,0.944832143,0
0.09,5,0,0.952095504,0
0.1,5,0,0.957532116,0
0.11,5,0,0.961755206,0
0.12,5,0,0.965131484,0
0.13,5,0,0.967893334,0
0.14,5,0,0.970195106,0
0.15,5,0,0.972143337,0
0.16,5,0,0.973813953,0
0.17,5,0,0.975262541,0
0.18,5,0,0.976530742,0
0.19,5,0,0.977650372,0
0.2,5,0,0.978646164,0
0.21,5,0,0.979537638,0
0.22,5,0,0.98034041,0
0.23,5,0,0.98106712,0
0.24,5,0,0.981728111,0
0.25,5,0,0.98233193,0
0.001,10,0,0.050273986,0
0.002,10,0,0.087404542,0
0.003,10,0,0.117602333,0
0.004,10,0,0.143582344,0
0.005,10,0,0.166718303,0
0.006,10,0,0.187780856,0
0.007,10,0,0.207238377,0
0.008,10,0,0.225395336,0
0.009,10,0,0.242461819,0
0.01,10,0,0.258590755,0
0.02,10,0,0.385981745,0
0.03,10,0,0.477912674,0
0.04,10,0,0.550364872,0
0.05,10,0,0.610073337,0
0.06,10,0,0.660587023,0
0.07,10,0,0.70406648,0
0.08,10,0,0.741924522,0
0.09,10,0,0.775142589,0
0.1,10,0,0.804440888,0
0.11,10,0,0.830354188,0
0.12,10,0,0.853296426,0
0.13,10,0,0.873592761,0
0.14,10,0,0.891498742,0
0.15,10,0,0.907219664,0
0.16,10,0,0.920917804,0
0.17,10,0,0.932717948,0
0.18,10,0,0.942705071,0
0.19,10,0,0.950912926,0
0.2,10,0,0.95736685,0
0.21,10,0,0.962253295,0
0.22,10,0,0.965941723,0
0.23,10,0,0.968791892,0
0.24,10,0,0.971060576,0
0.25,10,0,0.972915356,0
0.001,15,0,0.034421941,0
0.002,15,0,0.059805349,0
0.003,15,0,0.080446054,0
0.004,15,0,0.098222249,0
0.005,15,0,0.114083801,0
0.006,15,0,0.128562541,0
0.007,15,0,0.141980284,0
0.008,15,0,0.154544654,0
0.009,15,0,0.16639738,0
0.01,15,0,0.17764031,0
0.02,15,0,0.268027584,0
0.03,15,0,0.335374774,0
0.04,15,0,0.390115582,0
