R,Consumption,Oxygen,Unbound,Bound
20,0.234074074,0.25,0.001761546,0.098238454
19.02439024,0.233136169,0.188556509,0.002027309,0.097972691
18.04878049,0.231609116,0.134259696,0.002824595,0.097175405
17.07317073,0.228829333,0.087519379,0.004279507,0.095720493
16.09756098,0.222939264,0.049548273,0.007369094,0.092630906
15.12195122,0.208657738,0.023006471,0.014704929,0.085295071
14.14634146,0.179648458,0.009788776,0.028474948,0.071525052
13.17073171,0.143592257,0.004803947,0.044204626,0.055795374
12.19512195,0.111221543,0.00276333,0.057658445,0.042341555
11.2195122,0.085211213,0.001754313,0.068099952,0.031900048
10.24390244,0.065101356,0.001183498,0.075944168,0.024055832
9.268292683,0.049849176,0.00083237,0.081760736,0.018239264
8.292682927,0.038415309,0.000604517,0.086047153,0.013952847
7.317073171,0.029913288,0.0004514,0.089194044,0.010805956
6.341463415,0.02363665,0.000346191,0.091495453,0.008504547
5.365853659,0.019044173,0.000273051,0.093167752,0.006832248
4.390243902,0.015732881,0.000222199,0.094367499,0.005632501
3.414634146,0.013410667,0.000187434,0.09520589,0.00479411
2.43902439,0.011872719,0.000164806,0.095759785,0.004240215
1.463414634,0.010981743,0.000151837,0.096080177,0.003919823
0.487804878,0.010643844,0.000146945,0.096201586,0.003798414
-0.487804878,0.010643844,0.000146945,0.096201586,0.003798414
-1.463414634,0.010981743,0.000151837,0.096080177,0.003919823
-2.43902439,0.011872719,0.000164806,0.095759785,0.004240215
-3.414634146,0.013410667,0.000187434,0.09520589,0.00479411
-4.390243902,0.015732881,0.000222199,0.094367499,0.005632501
-5.365853659,0.019044173,0.000273051,0.093167752,0.006832248
-6.341463415,0.02363665,0.000346191,0.091495453,0.008504547
-7.317073171,0.029913288,0.0004514,0.089194044,0.010805956
-8.292682927,0.038415309,0.000604517,0.086047153,0.013952847
-9.268292683,0.049849176,0.00083237,0.081760736,0.018239264
-10.24390244,0.065101356,0.001183498,0.075944168,0.024055832
-11.2195122,0.085211213,0.001754313,0.068099952,0.031900048
-12.19512195,0.111221543,0.00276333,0.057658445,0.042341555
-13.17073171,0.143592257,0.004803947,0.044204626,0.055795374
-14.14634146,0.179648458,0.009788776,0.028474948,0.071525052
-15.12195122,0.208657738,0.023006471,0.014704929,0.085295071
-16.09756098,0.222939264,0.049548273,0.007369094,0.092630906
-17.07317073,0.228829333,0.087519379,0.004279507,0.095720493
-18.04878049,0.231609116,0.134259696,0.002824595,0.097175405
-19.02439024,0.233136169,0.188556509,0.002027309,0.097972691
-20,0.234074074,0.25,0.001761546,0.098238454
