Oxygen,Radius,Myoglobin,Metabolism
0.011,5,0,0.488989217
0.012,5,0,0.512614722
0.013,5,0,0.534830676
0.014,5,0,0.555772847
0.015,5,0,0.57555598
0.016,5,0,0.594278061
0.017,5,0,0.61202354
0.018,5,0,0.628865821
0.019,5,0,0.644869218
0.011,5,0.01,0.514554106
0.012,5,0.01,0.538757213
0.013,5,0.01,0.561272306
0.014,5,0.01,0.58226483
0.015,5,0.01,0.601880908
0.016,5,0.01,0.620249811
0.017,5,0.01,0.637485872
0.018,5,0.01,0.65369012
0.019,5,0.01,0.668951751
0.011,5,0.02,0.53095817
0.012,5,0.02,0.555672366
0.013,5,0.02,0.578515161
0.014,5,0.02,0.59966621
0.015,5,0.02,0.619288333
0.016,5,0.02,0.637528698
0.017,5,0.02,0.654519722
0.018,5,0.02,0.670379954
0.019,5,0.02,0.685215049
0.011,5,0.03,0.5423743
0.012,5,0.03,0.567500473
0.013,5,0.03,0.590626205
0.014,5,0.03,0.611939196
0.015,5,0.03,0.631612654
0.016,5,0.03,0.649805515
0.017,5,0.03,0.666662502
0.018,5,0.03,0.682314388
0.019,5,0.03,0.696878525
0.011,5,0.04,0.550783706
0.012,5,0.04,0.576243041
0.013,5,0.04,0.599606545
0.014,5,0.04,0.621066854
0.015,5,0.04,0.640804186
0.016,5,0.04,0.658985785
0.017,5,0.04,0.675765312
0.018,5,0.04,0.691282568
0.019,5,0.04,0.705663639
0.011,5,0.05,0.55724208
0.012,5,0.05,0.582975557
0.013,5,0.05,0.606540024
0.014,5,0.05,0.628131264
0.015,5,0.05,0.647934451
0.016,5,0.05,0.666122963
0.017,5,0.05,0.682857221
0.018,5,0.05,0.698283951
0.019,5,0.05,0.712536005
0.011,5,0.06,0.562362164
0.012,5,0.06,0.588325286
0.013,5,0.06,0.612061616
0.014,5,0.06,0.633768985
0.015,5,0.06,0.653636173
0.016,5,0.06,0.671841227
0.017,5,0.06,0.688549829
0.018,5,0.06,0.703914173
0.019,5,0.06,0.718072492
0.011,5,0.07,0.566523805
0.012,5,0.07,0.592682352
0.013,5,0.07,0.61656743
