Oxygen,z.01,z.05,z.10,z.15,z.20
0.001,0.01360882874,0.03820841397,0.05113211533,0.05832773832,0.06306724799
0.002,0.01576820267,0.04439606879,0.05946547434,0.06785630623,0.07338155369
0.003,0.0177180483,0.0500681336,0.06714188606,0.07665047262,0.08291003523
0.004,0.01950502825,0.05536863576,0.07436147675,0.08494229971,0.09190586401
0.005,0.02115826182,0.06039263869,0.08125967509,0.09289057645,0.1005433687
0.006,0.02269466952,0.06520051567,0.0879262161,0.1006025146,0.1089414711
0.007,0.02412266959,0.06982741535,0.09441755692,0.1081478837,0.1171789917
0.008,0.02544492613,0.07428997711,0.1007655305,0.1155687523,0.125305126
0.009,0.02666053254,0.07859141011,0.1069836963,0.1228866099,0.133347109
0.01,0.02776677233,0.08272562436,0.1130723299,0.1301078549,0.1413160327
0.011,0.02876052289,0.08668056898,0.1190223636,0.137228048,0.1492113606
0.012,0.02963929401,0.0904409808,0.1248185108,0.144235251,0.1570244039
0.013,0.03040193689,0.09399061578,0.1304417984,0.1511126381,0.1647410118
0.014,0.03104903578,0.0973139881,0.1358715303,0.1578404873,0.1723435858
0.015,0.03158303117,0.1003976697,0.1410868168,0.1643976881,0.1798125682
0.016,0.03200813298,0.1032311917,0.1460677404,0.1707628673,0.1871275198
0.017,0.03233008841,0.1058075958,0.1507962314,0.1769152278,0.1942678943
0.018,0.03255586567,0.108123684,0.1552567108,0.1828351809,0.2012136015
0.019,0.03269330579,0.1101800193,0.159436547,0.1885048319,0.207945429
0.02,0.03275078266,0.1119807268,0.163326357,0.193908363,0.214445379
0.021,0.03273688894,0.1135331474,0.1669201653,0.1990323407,0.2206969522
0.022,0.032660187,0.1148473834,0.1702154571,0.203865955,0.2266854036
0.023,0.03252898838,0.1159357928,0.1732130954,0.2084012012,0.2323979718
0.024,0.03235120234,0.116812456,0.1759171545,0.2126329926,0.2378240859
0.025,0.03213422373,0.117492656,0.1783346559,0.2165592035,0.2429555423
0.026,0.03188486212,0.1179923935,0.1804752357,0.2201806383,0.2477866403
0.027,0.03160930378,0.1183279544,0.1823507578,0.2235009252,0.2523142699
0.028,0.03131309993,0.1185155416,0.1839748983,0.2265263393,0.2565379424
0.029,0.0310011752,0.1185709733,0.1853627196,0.2292655619,0.2604597582
0.03,0.03067785227,0.1185094497,0.1865302549,0.2317293905,0.2640843124
0.031,0.03034687916,0.1183453741,0.187494118,0.2339304048,0.267418533
0.032,0.03001148307,0.1180922453,0.188271147,0.2358826243,0.2704714708
0.033,0.02967440174,0.1177625732,0.1888780949,0.2376011384,0.2732540296
0.034,0.02933793598,0.1173678475,0.1893313625,0.2391017547,0.2757786651
0.035,0.02900399391,0.1169185277,0.1896467778,0.2404006569,0.2780590546
0.04,0.02741672412,0.114149609,0.1896507701,0.2444249989,0.2863187799
0.05,0.0248273088,0.1079937492,0.1857050225,0.2451488778,0.2925424212
0.06,0.02294333716,0.1024860829,0.1802998611,0.2418550049,0.2921632914
0.07,0.02157179069,0.09785017024,0.1748373964,0.237196619,0.2890171662
0.08,0.0205398634,0.0939988155,0.1697474741,0.2322004812,0.284749069
0.09,0.01972027107,0.09080370508,0.1651814283,0.2273389549,0.2801570386
0.1,0.0190583538,0.08815424589,0.1611852542,0.2228448609,0.2756571787
0.11,0.01852641711,0.08595337673,0.157743635,0.218818302,0.2714619933
0.12,0.01808783821,0.0841069954,0.1547938431,0.215269903,0.2676567665
0.13,0.01771126566,0.08253844739,0.1522586205,0.2121656587,0.2642581733
0.14,0.01738683152,0.08119886803,0.1500750762,0.2094624215,0.2612555231
0.15,0.0171147308,0.08005585164,0.1481967659,0.2071180814,0.2586250253
0.16,0.01688779556,0.07907845017,0.1465820505,0.2050889696,0.2563315074
0.17,0.01669188258,0.07823634096,0.145190304,0.2033318405,0.254334594
0.18,0.01651790901,0.07750777641,0.1439879669,0.201810888,0.2525989085
0.19,0.01636670062,0.07688179362,0.1429527964,0.2005006059,0.2510985812
0.2,0.01624188276,0.07635148028,0.1420700889,0.199381496,0.2498132871
0.21,0.01614145595,0.07590694237,0.1413258795,0.1984345954,0.2487226134
0.22,0.01605800069,0.07553550179,0.1407045802,0.1976408216,0.2478054251
0.23,0.01598556938,0.07522711652,0.1401920099,0.1969842941,0.2470437464
0.24,0.01592433337,0.07497768823,0.1397787614,0.1964545962,0.2464255568
0.25,0.01587820983,0.07478666501,0.1394597341,0.1960449855,0.2459432059
