R,Consumption – no myoglobin,Consumption – myoglobin,Oxygen – no myoglobin,Oxygen – myoglobin
20,0.2340740741,0.2340740741,0.25,0.25
19.02439024,0.2332054892,0.2331361688,0.1920582619,0.1885565089
18.04878049,0.2318667303,0.2316091157,0.1411543862,0.1342596958
17.07317073,0.2296509605,0.2288293334,0.09765347598,0.08751937941
16.09756098,0.225621312,0.2229392638,0.06196378704,0.04954827317
15.12195122,0.2173190314,0.208657738,0.03450653209,0.02300647113
14.14634146,0.1974530577,0.1796484576,0.01560274371,0.009788776495
13.17073171,0.1467580288,0.1435922569,0.005082101311,0.004803946524
12.19512195,0.0646269692,0.1112215431,0.001171640818,0.002763329516
11.2195122,0.01642825881,0.08521121321,0.0002327510701,0.001754312996
10.24390244,0.003364376556,0.06510135639,4.50E-05,0.00118349822
9.268292683,0.0006620712599,0.04984917564,8.75E-06,0.0008323696911
8.292682927,0.0001310947101,0.03841530878,1.73E-06,0.0006045170915
7.317073171,2.65E-05,0.02991328796,3.49E-07,0.0004514004011
6.341463415,5.48E-06,0.02363664959,7.22E-08,0.0003461912733
5.365853659,1.17E-06,0.01904417254,1.55E-08,0.0002730509199
4.390243902,2.64E-07,0.01573288085,3.48E-09,0.0002221986387
3.414634146,6.36E-08,0.01341066661,8.39E-10,0.0001874344027
2.43902439,1.71E-08,0.01187271855,2.26E-10,0.000164805639
1.463414634,5.70E-09,0.01098174286,7.51E-11,0.0001518370546
0.487804878,3.09E-09,0.01064384397,4.07E-11,0.000146945473
-0.487804878,3.09E-09,0.01064384397,4.07E-11,0.000146945473
-1.463414634,5.70E-09,0.01098174286,7.51E-11,0.0001518370546
-2.43902439,1.71E-08,0.01187271855,2.26E-10,0.000164805639
-3.414634146,6.36E-08,0.01341066661,8.39E-10,0.0001874344027
-4.390243902,2.64E-07,0.01573288085,3.48E-09,0.0002221986387
-5.365853659,1.17E-06,0.01904417254,1.55E-08,0.0002730509199
-6.341463415,5.48E-06,0.02363664959,7.22E-08,0.0003461912733
-7.317073171,2.65E-05,0.02991328796,3.49E-07,0.0004514004011
-8.292682927,0.0001310947101,0.03841530878,1.73E-06,0.0006045170915
-9.268292683,0.0006620712599,0.04984917564,8.75E-06,0.0008323696911
-10.24390244,0.003364376556,0.06510135639,4.50E-05,0.00118349822
-11.2195122,0.01642825881,0.08521121321,0.0002327510701,0.001754312996
-12.19512195,0.0646269692,0.1112215431,0.001171640818,0.002763329516
-13.17073171,0.1467580288,0.1435922569,0.005082101311,0.004803946524
-14.14634146,0.1974530577,0.1796484576,0.01560274371,0.009788776495
-15.12195122,0.2173190314,0.208657738,0.03450653209,0.02300647113
-16.09756098,0.225621312,0.2229392638,0.06196378704,0.04954827317
-17.07317073,0.2296509605,0.2288293334,0.09765347598,0.08751937941
-18.04878049,0.2318667303,0.2316091157,0.1411543862,0.1342596958
-19.02439024,0.2332054892,0.2331361688,0.1920582619,0.1885565089
-20,0.2340740741,0.2340740741,0.25,0.25
